Plan,Size,Basis,Sale,P_pay_old,P_pay_new,P_yr1_old,P_yr1_new,E_old,E_new,BE_old,BE_new,BE_dlt,Left_old,Left_new,Left_dlt,Sale_m_old,Sale_m_new,Sale_m_dlt,Avg_days_old,Avg_days_new,Margin_up,Margin_down
Instant,5000,year-1,49,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,13.89761184888926,15.261995774657695,13.89761184888926,15.261995774657695,1.3643839257684345,6.6054202854205855,5.104597967075307,-1.5008223183452785,0.7163752683900151,0.6885306984763736,-0.02784456991364148,27.726516666666665,29.212858333333337,False,True
Instant,10000,year-1,69,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,27.79522369777852,30.52399154931539,27.79522369777852,30.52399154931539,2.728767851536869,6.890517488475325,3.888872851784768,-3.001644636690557,0.5971706710466881,0.5576233108794871,-0.03954736016720095,27.726516666666665,29.212858333333337,False,True
Instant,25000,year-1,149,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,69.4880592444463,76.30997887328847,69.4880592444463,76.30997887328847,6.821919628842167,23.745809097639537,16.241697505913166,-7.504111591726371,0.5336371862788839,0.48785249078329884,-0.04578469549558506,27.726516666666665,29.212858333333337,False,True
Instant,50000,year-1,239,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,138.9761184888926,152.61995774657694,138.9761184888926,152.61995774657694,13.643839257684334,17.17129511291327,2.1630719294605,-15.00822318345277,0.41850996448162087,0.3614227709348245,-0.057087193546796366,27.726516666666665,29.212858333333337,False,True
Instant,100000,year-1,439,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,277.9522369777852,305.2399154931539,277.9522369777852,305.2399154931539,27.28767851536867,20.02226714346068,-9.99417922344486,-30.01644636690554,0.3668513964059562,0.30469267541422806,-0.062158720991728145,27.726516666666665,29.212858333333337,False,True
1-Step,5000,first,45,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,5.888705399150347,7.546062642509871,6.475730355913947,8.215637063157182,1.739906707243235,8.691747572257917,6.777850194290359,-1.913897377967558,0.7784898800188812,0.7508097190553362,-0.027680160963544975,40.00963333333333,40.849075,False,True
1-Step,10000,first,69,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,11.777410798300695,15.092125285019742,12.951460711827893,16.431274126314364,3.47981341448647,20.265467988791315,16.4376732328562,-3.827794755935116,0.7386628869811493,0.6997735465939168,-0.038889340387232574,40.00963333333333,40.849075,False,True
1-Step,25000,first,129,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,29.443526995751736,37.730313212549355,32.37865177956973,41.07818531578591,8.69953353621618,45.38662923839151,35.8171423485537,-9.569486889837805,0.6811056046840951,0.6260169518407027,-0.05508865284339237,40.00963333333333,40.849075,False,True
1-Step,50000,first,219,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,58.88705399150347,75.46062642509871,64.75730355913946,82.15637063157182,17.39906707243236,79.25523132105852,60.11625754138291,-19.13897377967561,0.6404593425045503,0.5739309295657593,-0.06652841293879097,40.00963333333333,40.849075,False,True
1-Step,100000,first,379,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,117.77410798300694,150.92125285019742,129.51460711827892,164.31274126314364,34.79813414486472,130.99243548639245,92.71448792704123,-38.27794755935122,0.5986003747150213,0.5202908895773155,-0.07830948513770575,40.00963333333333,40.849075,False,True
1-Step,200000,first,699,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,235.54821596601388,301.84250570039484,259.02921423655783,328.62548252628727,69.59626828972944,234.46684381706046,157.91094869835803,-76.55589511870244,0.5723711502632133,0.48667953404807607,-0.08569161621513721,40.00963333333333,40.849075,False,True
2-Step Lite,5000,first,39,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,6.54143628786821,6.54143628786821,7.336464489739666,7.336464489739666,0.0,0.06719766961412077,0.06719766961412077,0.0,0.723904197746969,0.723904197746969,0.0,48.541333333333334,48.541333333333334,False,False
2-Step Lite,10000,first,55,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,13.08287257573642,13.08287257573642,14.672928979479332,14.672928979479332,0.0,4.218664110145035,4.218664110145035,0.0,0.6537629228653985,0.6537629228653985,0.0,48.541333333333334,48.541333333333334,False,False
2-Step Lite,25000,first,115,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,32.70718143934105,32.70718143934105,36.68232244869833,36.68232244869833,0.0,26.273063431737768,26.273063431737768,0.0,0.6072230599477589,0.6072230599477589,0.0,48.541333333333334,48.541333333333334,False,False
2-Step Lite,50000,first,169,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,65.4143628786821,65.4143628786821,73.36464489739666,73.36464489739666,0.0,26.230395634392366,26.230395634392366,0.0,0.5045660973648002,0.5045660973648002,0.0,48.541333333333334,48.541333333333334,False,False
2-Step Lite,100000,first,309,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,130.8287257573642,130.8287257573642,146.72928979479332,146.72928979479332,0.0,51.745060039701514,51.745060039701514,0.0,0.4682393988434816,0.4682393988434816,0.0,48.541333333333334,48.541333333333334,False,False
2-Step Lite,200000,first,599,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,261.6574515147284,261.6574515147284,293.45857958958663,293.45857958958663,0.0,110.77438885031984,110.77438885031984,0.0,0.4548095411551557,0.4548095411551557,0.0,48.541333333333334,48.541333333333334,False,False
