Product,Firm,Plan,Family,Profile,Weight,Phase1,Funded,P_pay,P_yr1,E_payout_100k,E_payout_if_paid,Avg_days
FN Stellar 2-Step,FundedNext,Stellar 2-Step,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.318
FN Stellar Lite,FundedNext,Stellar Lite,2-step,Pro,0.07,0.814,0.606,0.606,0.182,413.4095235563815,682.1939332613556,94.256
FN Stellar Lite,FundedNext,Stellar Lite,2-step,Semi-skilled,0.22,0.527,0.294,0.294,0.093,212.15976791923845,721.631863670879,102.986
FN Stellar Lite,FundedNext,Stellar Lite,2-step,Average,0.26,0.165,0.047,0.047,0.011,53.835846424789345,1145.443540952965,63.566
FN Stellar Lite,FundedNext,Stellar Lite,2-step,Aggressive,0.28,0.001,0.0,0.0,0.0,0.0,0.0,1.824
FN Stellar Lite,FundedNext,Stellar Lite,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.312
FN Stellar Instant,FundedNext,Stellar Instant,instant,Pro,0.07,0.954,0.954,0.954,0.309,562.7889048529823,589.9254767850969,9.287
FN Stellar Instant,FundedNext,Stellar Instant,instant,Semi-skilled,0.22,0.913,0.913,0.913,0.309,613.7907444134538,672.2790190727862,10.382
FN Stellar Instant,FundedNext,Stellar Instant,instant,Average,0.26,0.759,0.759,0.759,0.221,740.7829718853297,975.9986454352171,13.694
FN Stellar Instant,FundedNext,Stellar Instant,instant,Aggressive,0.28,0.201,0.201,0.201,0.077,667.8042529889498,3322.4092188504956,5.028
FN Stellar Instant,FundedNext,Stellar Instant,instant,Lottery,0.17,0.048,0.048,0.048,0.021,349.045904945729,7271.789686369353,2.356
5ers High Stakes,The5ers,High Stakes,2-step,Pro,0.07,0.854,0.628,0.628,0.203,1285.680352938456,2047.2617085007262,139.254
5ers High Stakes,The5ers,High Stakes,2-step,Semi-skilled,0.22,0.567,0.285,0.285,0.089,586.6070233901681,2058.270257509362,138.216
5ers High Stakes,The5ers,High Stakes,2-step,Average,0.26,0.137,0.021,0.021,0.008,46.05768939871411,2193.2233047006716,67.386
5ers High Stakes,The5ers,High Stakes,2-step,Aggressive,0.28,0.007,0.0,0.0,0.0,0.0,0.0,2.189
5ers High Stakes,The5ers,High Stakes,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.34
5ers Hyper Growth,The5ers,Hyper Growth,1-step,Pro,0.07,0.762,0.63,0.63,0.171,304.253951782418,482.9427806070127,85.215
