Product,Firm,Plan,Family,Profile,Weight,Phase1,Funded,P_pay,P_yr1,E_payout_100k,E_payout_if_paid,Avg_days
TFT Royal,The Funded Trader,Royal 1-Step,1-step,Average,0.26,0.12,0.063,0.063,0.015,104.46470708202597,1658.1699536829517,62.213
TFT Royal,The Funded Trader,Royal 1-Step,1-step,Aggressive,0.28,0.026,0.0,0.0,0.0,0.0,0.0,12.221
TFT Royal,The Funded Trader,Royal 1-Step,1-step,Lottery,0.17,0.027,0.0,0.0,0.0,0.0,0.0,1.311
CTI 2-Step,City Traders Imperium,2-Step,2-step,Pro,0.07,0.86,0.618,0.618,0.199,661.2098482901982,1069.9188483660166,127.613
CTI 2-Step,City Traders Imperium,2-Step,2-step,Semi-skilled,0.22,0.545,0.288,0.288,0.094,325.1470668579704,1128.9828710346192,130.271
CTI 2-Step,City Traders Imperium,2-Step,2-step,Average,0.26,0.128,0.025,0.025,0.006,34.66036834020437,1386.4147336081746,68.336
CTI 2-Step,City Traders Imperium,2-Step,2-step,Aggressive,0.28,0.004,0.0,0.0,0.0,0.0,0.0,2.424
CTI 2-Step,City Traders Imperium,2-Step,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.331
FundingTraders 2-Step,Funding Traders,2-Step,2-step,Pro,0.07,0.868,0.682,0.682,0.219,768.5132863223059,1126.8523259857857,117.23
FundingTraders 2-Step,Funding Traders,2-Step,2-step,Semi-skilled,0.22,0.621,0.338,0.338,0.119,365.4468473223771,1081.203690302891,115.961
FundingTraders 2-Step,Funding Traders,2-Step,2-step,Average,0.26,0.163,0.031,0.031,0.011,48.091924893725334,1551.3524159266237,68.299
FundingTraders 2-Step,Funding Traders,2-Step,2-step,Aggressive,0.28,0.009,0.0,0.0,0.0,0.0,0.0,1.936
FundingTraders 2-Step,Funding Traders,2-Step,2-step,Lottery,0.17,0.002,0.0,0.0,0.0,0.0,0.0,1.303
BG Instant,Blue Guardian,Instant,instant,Pro,0.07,0.786,0.786,0.786,0.25,2736.1919288174527,3481.160214780475,38.482
BG Instant,Blue Guardian,Instant,instant,Semi-skilled,0.22,0.565,0.565,0.565,0.166,2004.619480701274,3547.999080887211,47.122
BG Instant,Blue Guardian,Instant,instant,Average,0.26,0.16,0.16,0.16,0.059,751.321684551807,4695.760528448793,44.961
BG Instant,Blue Guardian,Instant,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.323
BG Instant,Blue Guardian,Instant,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.169
BG 1-Step,Blue Guardian,1-Step Standard,1-step,Pro,0.07,0.813,0.68,0.68,0.213,796.6943846445354,1171.6093891831401,86.375
BG 1-Step,Blue Guardian,1-Step Standard,1-step,Semi-skilled,0.22,0.5,0.394,0.394,0.128,492.74745392113624,1250.6280556374018,95.415
BG 1-Step,Blue Guardian,1-Step Standard,1-step,Average,0.26,0.105,0.064,0.064,0.022,83.63255501350439,1306.758672086006,66.388
BG 1-Step,Blue Guardian,1-Step Standard,1-step,Aggressive,0.28,0.025,0.0,0.0,0.0,0.0,0.0,1.928
BG 1-Step,Blue Guardian,1-Step Standard,1-step,Lottery,0.17,0.021,0.0,0.0,0.0,0.0,0.0,1.283
BG 2-Step,Blue Guardian,2-Step Standard,2-step,Pro,0.07,0.848,0.62,0.62,0.197,716.6954291786025,1155.9603696429074,111.08
BG 2-Step,Blue Guardian,2-Step Standard,2-step,Semi-skilled,0.22,0.582,0.295,0.295,0.104,338.3023320013952,1146.787566106424,114.953
BG 2-Step,Blue Guardian,2-Step Standard,2-step,Average,0.26,0.159,0.029,0.029,0.009,46.10229430319562,1589.7342863170904,72.875
BG 2-Step,Blue Guardian,2-Step Standard,2-step,Aggressive,0.28,0.011,0.0,0.0,0.0,0.0,0.0,2.228
BG 2-Step,Blue Guardian,2-Step Standard,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.325
BrightFunded 2-Step,BrightFunded,2-Step,2-step,Pro,0.07,0.879,0.67,0.67,0.204,673.7673704520679,1005.6229409732357,119.315
BrightFunded 2-Step,BrightFunded,2-Step,2-step,Semi-skilled,0.22,0.579,0.333,0.333,0.109,347.6642495966732,1044.036785575595,117.806
BrightFunded 2-Step,BrightFunded,2-Step,2-step,Average,0.26,0.177,0.035,0.035,0.013,69.53463309068603,1986.7038025910288,73.616
BrightFunded 2-Step,BrightFunded,2-Step,2-step,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,2.458
BrightFunded 2-Step,BrightFunded,2-Step,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.374
Ment 2-Step,Ment Funding,2-Step,2-step,Pro,0.07,0.845,0.574,0.574,0.189,614.3561743622015,1070.3069239759607,108.636
Ment 2-Step,Ment Funding,2-Step,2-step,Semi-skilled,0.22,0.524,0.257,0.257,0.083,308.16079752901953,1199.069251085679,103.072
Ment 2-Step,Ment Funding,2-Step,2-step,Average,0.26,0.166,0.032,0.032,0.01,45.096752456101775,1409.2735142531806,64.9
Ment 2-Step,Ment Funding,2-Step,2-step,Aggressive,0.28,0.01,0.0,0.0,0.0,0.0,0.0,2.293
Ment 2-Step,Ment Funding,2-Step,2-step,Lottery,0.17,0.001,0.0,0.0,0.0,0.0,0.0,1.313
