Product,Size,List,Sale,P_pay,E_payout,E_cost_at_sale,BE,px_40,sale_m
Verodus Instant,5000,110,72,0.09594,20.941529105271194,20.941529105271194,20.941529105271194,34.90254850878532,0.7091454290934557
Verodus Instant,10000,184,121,0.09594,41.88305821054239,41.88305821054239,41.88305821054239,69.80509701757065,0.6538590230533687
Verodus Instant,25000,370,242,0.09594,104.70764552635596,104.70764552635596,104.70764552635596,174.5127425439266,0.5673237788167108
Verodus Instant,50000,594,389,0.09594,209.41529105271192,209.41529105271192,209.41529105271192,349.0254850878532,0.46165734947888964
Verodus Instant,100000,1032,676,0.09594,418.83058210542384,418.83058210542384,418.83058210542384,698.0509701757064,0.3804281329801422
Verodus Instant,200000,2012,1318,0.09594,837.6611642108477,837.6611642108477,837.6611642108477,1396.1019403514128,0.36444524718448584
Verodus 1-Step,5000,55,36,0.06393499999999999,4.21926782273019,6.52092782273019,4.507451750391469,7.512419583985781,0.8188631160352725
Verodus 1-Step,10000,92,60,0.06393499999999999,8.43853564546038,12.27463564546038,9.014903500782937,15.024839167971562,0.795422739242327
Verodus 1-Step,25000,185,120,0.06393499999999999,21.09633911365095,28.76853911365095,22.53725875195734,37.5620979199289,0.7602621740529087
Verodus 1-Step,50000,297,193,0.06393499999999999,42.1926782273019,54.5321332273019,45.07451750391468,75.1241958398578,0.7174500869051715
Verodus 1-Step,100000,516,335,0.06393499999999999,84.3853564546038,105.80358145460379,90.14903500782935,150.2483916797156,0.6841684135683469
Verodus 1-Step,200000,1006,654,0.06393499999999999,168.7707129092076,210.5842029092076,180.2980700156587,300.4967833594312,0.6780058059492239
Verodus 2-Step Lite,5000,27,18,0.082035,5.290184129047422,6.766814129047422,5.7629475296415675,9.604912549402613,0.6240658817195877
Verodus 2-Step Lite,10000,51,33,0.082035,10.580368258094843,13.287523258094843,11.525895059283135,19.209825098805226,0.597347780057732
Verodus 2-Step Lite,25000,101,66,0.082035,26.450920645237108,31.86523064523711,28.81473764820784,48.024562747013064,0.5171934750721651
Verodus 2-Step Lite,50000,204,133,0.082035,52.901841290474216,63.812496290474215,57.62947529641568,96.04912549402613,0.5202067948084645
Verodus 2-Step Lite,100000,371,241,0.082035,105.80368258094843,125.57411758094844,115.25895059283135,192.09825098805226,0.47894557020353346
Verodus 2-Step Lite,200000,734,477,0.082035,211.60736516189687,250.73806016189687,230.5179011856627,384.1965019761045,0.4743436893880569
Verodus 2-Step Pro,5000,31,20,0.09018,5.505339173274983,7.308939173274982,6.051020172424197,10.085033620706996,0.6345530413362509
Verodus 2-Step Pro,10000,56,36,0.09018,11.010678346549966,14.257158346549966,12.102040344848394,20.170067241413992,0.6039678237069455
Verodus 2-Step Pro,25000,131,85,0.09018,27.526695866374915,35.19199586637492,30.255100862120987,50.42516810353498,0.5859765192191186
Verodus 2-Step Pro,50000,250,163,0.09018,55.05339173274983,69.75273173274982,60.51020172424197,100.85033620706996,0.5720691304739275
Verodus 2-Step Pro,100000,455,296,0.09018,110.10678346549966,136.80006346549965,121.02040344848395,201.70067241413992,0.5378376234273661
Verodus 2-Step Pro,200000,887,577,0.09018,220.21356693099932,272.2474269309993,242.0408068969679,403.40134482827983,0.5281673710034673
