Plan,Size,Basis,P_pay_off,P_pay_on,P_yr1_off,P_yr1_on,E_off,E_on,BE_off,BE_on,BE_dlt,S_opex_off,S_opex_on,Locked,Rec,Changed,List,Left_off,Left_on,Loaded_on
Instant,5000,year-1,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,13.89761184888926,15.261995774657695,13.89761184888926,15.261995774657695,1.3643839257684345,40.743224643224266,42.619252541155866,49,49,False,75,6.6054202854205855,5.104597967075307,34.095402032924696
Instant,10000,year-1,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,27.79522369777852,30.52399154931539,27.79522369777852,30.52399154931539,2.728767851536869,60.386853139405844,64.13890893526904,69,69,False,106,6.890517488475325,3.888872851784768,51.311127148215235
Instant,25000,year-1,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,69.4880592444463,76.30997887328847,69.4880592444463,76.30997887328847,6.821919628842167,119.31773862795058,128.69787811760852,149,149,False,229,23.745809097639537,16.241697505913166,102.95830249408684
Instant,50000,year-1,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,138.9761184888926,152.61995774657694,138.9761184888926,152.61995774657694,13.643839257684334,217.53588110885843,236.2961600881744,239,239,False,368,17.17129511291327,2.1630719294605,189.03692807053952
Instant,100000,year-1,0.21295,0.19341666666666665,0.07176666666666667,0.06703333333333333,277.9522369777852,305.2399154931539,277.9522369777852,305.2399154931539,27.28767851536867,413.9721660706742,451.4927240293061,439,439,False,675,20.02226714346068,-9.99417922344486,361.1941792234449
1-Step,5000,first,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,5.888705399150347,7.546062642509871,6.475730355913947,8.215637063157182,1.739906707243235,34.1353155346776,36.527687257137046,45,45,False,69,8.691747572257917,6.777850194290359,29.22214980570964
1-Step,10000,first,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,11.777410798300695,15.092125285019742,12.951460711827893,16.431274126314364,3.47981341448647,43.66816501401086,48.452908458929755,69,69,False,106,20.265467988791315,16.4376732328562,38.762326767143804
1-Step,25000,first,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,29.443526995751736,37.730313212549355,32.37865177956973,41.07818531578591,8.69953353621618,72.26671345201062,84.22857206430787,129,129,False,198,45.38662923839151,35.8171423485537,67.3828576514463
1-Step,50000,first,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,58.88705399150347,75.46062642509871,64.75730355913946,82.15637063157182,17.39906707243236,119.93096084867688,143.85467807327137,219,219,False,337,79.25523132105852,60.11625754138291,115.08374245861711
1-Step,100000,first,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,117.77410798300694,150.92125285019742,129.51460711827892,164.31274126314364,34.79813414486472,215.2594556420094,263.1068900911984,379,379,False,583,130.99243548639245,92.71448792704123,210.48551207295876
1-Step,200000,first,0.09065000000000001,0.0815,0.027266666666666668,0.024916666666666667,235.54821596601388,301.84250570039484,259.02921423655783,328.62548252628727,69.59626828972944,405.91644522867443,501.6113141270525,699,699,False,1075,234.46684381706046,157.91094869835803,401.289051301642
2-Step Lite,5000,first,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,6.54143628786821,6.54143628786821,7.336464489739666,7.336464489739666,0.0,38.91600291298235,38.91600291298235,39,39,False,60,0.06719766961412077,0.06719766961412077,31.132802330385882
2-Step Lite,10000,first,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,13.08287257573642,13.08287257573642,14.672928979479332,14.672928979479332,0.0,49.7266698623187,49.7266698623187,55,55,False,85,4.218664110145035,4.218664110145035,39.781335889854965
2-Step Lite,25000,first,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,32.70718143934105,32.70718143934105,36.68232244869833,36.68232244869833,0.0,82.15867071032778,82.15867071032778,115,115,False,177,26.273063431737768,26.273063431737768,65.72693656826223
2-Step Lite,50000,first,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,65.4143628786821,65.4143628786821,73.36464489739666,73.36464489739666,0.0,136.21200545700955,136.21200545700955,169,169,False,260,26.230395634392366,26.230395634392366,108.96960436560765
2-Step Lite,100000,first,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,130.8287257573642,130.8287257573642,146.72928979479332,146.72928979479332,0.0,244.31867495037312,244.31867495037312,309,309,False,475,51.745060039701514,51.745060039701514,195.4549399602985
2-Step Lite,200000,first,0.10836666666666667,0.10836666666666667,0.03463333333333333,0.03463333333333333,261.6574515147284,261.6574515147284,293.45857958958663,293.45857958958663,0.0,460.53201393710026,460.53201393710026,599,599,False,922,110.77438885031984,110.77438885031984,368.4256111496802
2-Step Pro,5000,first,0.12503333333333336,0.12503333333333336,0.03970833333333334,0.03970833333333334,6.87285516008345,6.87285516008345,7.854990849270582,7.854990849270582,0.0,38.42991734257257,38.42991734257257,45,45,False,69,5.256066125941942,5.256066125941942,30.743933874058058
2-Step Pro,10000,first,0.12503333333333336,0.12503333333333336,0.03970833333333334,0.03970833333333334,13.7457103201669,13.7457103201669,15.709981698541164,15.709981698541164,0.0,49.922122024266365,49.922122024266365,59,59,False,91,7.26230238058691,7.26230238058691,39.93769761941309
2-Step Pro,25000,first,0.12503333333333336,0.12503333333333336,0.03970833333333334,0.03970833333333334,34.364275800417246,34.364275800417246,39.274954246352905,39.274954246352905,0.0,84.3987360693477,84.3987360693477,125,125,False,192,32.48101114452183,32.48101114452183,67.51898885547817
2-Step Pro,50000,first,0.12503333333333336,0.12503333333333336,0.03970833333333334,0.03970833333333334,68.72855160083449,68.72855160083449,78.54990849270581,78.54990849270581,0.0,141.85975947781662,141.85975947781662,199,199,False,306,45.71219241774671,45.71219241774671,113.48780758225331
2-Step Pro,100000,first,0.12503333333333336,0.12503333333333336,0.03970833333333334,0.03970833333333334,137.45710320166899,137.45710320166899,157.09981698541162,157.09981698541162,0.0,256.78180629475446,256.78180629475446,349,349,False,537,73.7745549641964,73.7745549641964,205.4254450358036
2-Step Pro,200000,first,0.12503333333333336,0.12503333333333336,0.03970833333333334,0.03970833333333334,274.91420640333797,274.91420640333797,314.19963397082324,314.19963397082324,0.0,486.6258999286302,486.6258999286302,699,699,False,1075,169.8992800570959,169.8992800570959,389.30071994290415
