Family,Firm,Plan,Size,BE,Street,Street_rank,Street_n,px_40,px_60,P_pay,rank_at_40,n_at_40,rank_at_60,n_at_60
1-step,FTMO,1-Step,200000,529.96,1159.0,7,7,883.27,1324.9,0.13508,,,,
2-step,Maven,2-Step,5000,7.81,18.0,1,20,13.01,19.52,0.12736,,,,
2-step,Verodus,2-Step Lite,5000,7.61,18.0,1,20,12.68,19.02,0.10616,1.0,19.0,2.0,19.0
2-step,Verodus,2-Step Pro,5000,7.53,20.0,3,20,12.55,18.83,0.11998,1.0,19.0,2.0,19.0
2-step,Alpha Capital,Pro 6%,5000,5.33,22.0,4,20,8.88,13.32,0.08958,,,,
2-step,FundingPips,2-Step Pro,5000,5.36,23.0,5,20,8.94,13.41,0.09872,,,,
2-step,Alpha Capital,Pro 10%,5000,6.35,26.0,6,20,10.59,15.88,0.11819,,,,
2-step,FundingPips,2-Step Flex,5000,5.19,26.0,6,20,8.64,12.97,0.14345,,,,
2-step,FundingPips,2-Step Standard,5000,7.02,27.0,8,20,11.71,17.56,0.12593,,,,
2-step,Funding Traders,2-Step,5000,8.43,29.0,9,20,14.05,21.08,0.13016,,,,
2-step,Goat Funded,2-Step Standard,5000,7.9,29.0,9,20,13.16,19.75,0.12901,,,,
2-step,Ment Funding,2-Step,5000,6.85,31.0,11,20,11.41,17.11,0.10504,,,,
2-step,FundedNext,Stellar Lite,5000,5.1,33.0,12,20,8.5,12.74,0.11968,,,,
2-step,Fintokei,ProTrader,5000,8.18,35.0,13,20,13.63,20.44,0.12581,,,,
2-step,The5ers,High Stakes,5000,11.49,35.0,13,20,19.14,28.72,0.11174,,,,
2-step,Hola Prime,2-Step Prime,5000,7.37,38.0,15,20,12.29,18.44,0.12337,,,,
2-step,For Traders,2-Step,5000,6.82,39.0,16,20,11.37,17.05,0.10351,,,,
2-step,The Funded Trader,Standard,5000,8.34,39.0,16,20,13.9,20.85,0.12943,,,,
2-step,Blue Guardian,2-Step Standard,5000,7.72,44.0,18,20,12.87,19.31,0.11584,,,,
2-step,BrightFunded,2-Step,5000,8.14,44.0,18,20,13.56,20.35,0.12926,,,,
2-step,FXIFY,2-Step,5000,3.41,47.0,20,20,5.68,8.52,0.08897,,,,
2-step,FundedNext,Stellar 2-Step,6000,6.23,66.0,1,1,10.39,15.59,0.12866,,,,
2-step,Verodus,2-Step Lite,10000,15.22,33.0,1,22,25.36,38.04,0.10616,1.0,21.0,3.0,21.0
2-step,Maven,2-Step,10000,15.62,35.0,2,22,26.03,39.04,0.12736,,,,
2-step,Verodus,2-Step Pro,10000,15.06,36.0,3,22,25.1,37.65,0.11998,1.0,21.0,2.0,21.0
2-step,Alpha Capital,Pro 6%,10000,10.66,38.0,4,22,17.77,26.65,0.08958,,,,
2-step,FundingPips,2-Step Pro,10000,10.73,44.0,5,22,17.88,26.82,0.09872,,,,
2-step,FundingPips,2-Step Flex,10000,10.37,47.0,6,22,17.29,25.93,0.14345,,,,
2-step,FundingPips,2-Step Standard,10000,14.05,50.0,7,22,23.41,35.12,0.12593,,,,
2-step,Funding Traders,2-Step,10000,16.86,53.0,8,22,28.11,42.16,0.13016,,,,
2-step,Goat Funded,2-Step Standard,10000,15.8,53.0,8,22,26.33,39.49,0.12901,,,,
2-step,Hola Prime,2-Step Prime,10000,14.75,55.0,10,22,24.58,36.87,0.12337,,,,
2-step,Ment Funding,2-Step,10000,13.69,55.0,10,22,22.82,34.23,0.10504,,,,
2-step,FundedNext,Stellar Lite,10000,10.2,59.0,12,22,16.99,25.49,0.11968,,,,
2-step,The5ers,High Stakes,10000,22.97,60.0,13,22,38.29,57.43,0.11174,,,,
2-step,Alpha Capital,Pro 10%,10000,12.7,62.0,14,22,21.17,31.76,0.11819,,,,
2-step,FXIFY,2-Step,10000,6.82,71.0,15,22,11.37,17.05,0.08897,,,,
2-step,For Traders,2-Step,10000,13.64,71.0,15,22,22.74,34.1,0.10351,,,,
2-step,Blue Guardian,2-Step Standard,10000,15.45,78.0,17,22,25.75,38.62,0.11584,,,,
2-step,BrightFunded,2-Step,10000,16.28,79.0,18,22,27.13,40.69,0.12926,,,,
2-step,City Traders Imperium,2-Step,10000,14.3,79.0,18,22,23.83,35.75,0.11312,,,,
2-step,Fintokei,ProTrader,10000,16.35,79.0,18,22,27.26,40.88,0.12581,,,,
2-step,The Funded Trader,Standard,10000,16.68,79.0,18,22,27.8,41.7,0.12943,,,,
2-step,FTMO,2-Step,10000,10.51,103.0,22,22,17.52,26.28,0.12748,,,,
2-step,FundedNext,Stellar 2-Step,15000,15.59,130.0,1,1,25.98,38.97,0.12866,,,,
2-step,The5ers,High Stakes,20000,45.95,99.0,1,1,76.58,114.87,0.11174,,,,
2-step,Verodus,2-Step Lite,25000,38.04,66.0,1,22,63.4,95.1,0.10616,1.0,21.0,3.0,21.0
2-step,Maven,2-Step,25000,39.04,79.0,2,22,65.07,97.61,0.12736,,,,
2-step,Verodus,2-Step Pro,25000,37.65,85.0,3,22,62.76,94.13,0.11998,1.0,21.0,3.0,21.0
2-step,Alpha Capital,Pro 6%,25000,26.65,94.0,4,22,44.41,66.62,0.08958,,,,
2-step,FundingPips,2-Step Pro,25000,26.82,107.0,5,22,44.71,67.06,0.09872,,,,
2-step,Ment Funding,2-Step,25000,34.23,119.0,6,22,57.04,85.57,0.10504,,,,
2-step,Funding Traders,2-Step,25000,42.16,125.0,7,22,70.27,105.41,0.13016,,,,
2-step,Goat Funded,2-Step Standard,25000,39.49,125.0,7,22,65.82,98.74,0.12901,,,,
2-step,FundingPips,2-Step Flex,25000,25.93,127.0,9,22,43.22,64.83,0.14345,,,,
2-step,Hola Prime,2-Step Prime,25000,36.87,127.0,9,22,61.45,92.18,0.12337,,,,
2-step,FundingPips,2-Step Standard,25000,35.12,134.0,11,22,58.54,87.8,0.12593,,,,
2-step,Alpha Capital,Pro 10%,25000,31.76,142.0,12,22,52.93,79.39,0.11819,,,,
2-step,For Traders,2-Step,25000,34.1,143.0,13,22,56.84,85.26,0.10351,,,,
2-step,FundedNext,Stellar Lite,25000,25.49,149.0,14,22,42.48,63.72,0.11968,,,,
2-step,Blue Guardian,2-Step Standard,25000,38.62,150.0,15,22,64.37,96.55,0.11584,,,,
2-step,BrightFunded,2-Step,25000,40.69,151.0,16,22,67.82,101.73,0.12926,,,,
2-step,FXIFY,2-Step,25000,17.05,151.0,16,22,28.42,42.62,0.08897,,,,
2-step,The Funded Trader,Standard,25000,41.7,151.0,16,22,69.51,104.26,0.12943,,,,
2-step,City Traders Imperium,2-Step,25000,35.75,159.0,19,22,59.59,89.38,0.11312,,,,
2-step,Fintokei,ProTrader,25000,40.88,159.0,19,22,68.14,102.21,0.12581,,,,
2-step,FundedNext,Stellar 2-Step,25000,25.98,220.0,21,22,43.3,64.95,0.12866,,,,
2-step,FTMO,2-Step,25000,26.28,290.0,22,22,43.79,65.69,0.12748,,,,
2-step,Verodus,2-Step Lite,50000,76.08,133.0,1,22,126.8,190.2,0.10616,1.0,21.0,4.0,21.0
2-step,Maven,2-Step,50000,78.09,151.0,2,22,130.14,195.21,0.12736,,,,
2-step,Verodus,2-Step Pro,50000,75.31,163.0,3,22,125.51,188.27,0.11998,1.0,21.0,4.0,21.0
2-step,Alpha Capital,Pro 6%,50000,53.3,174.0,4,22,88.83,133.24,0.08958,,,,
2-step,FundingPips,2-Step Pro,50000,53.65,179.0,5,22,89.41,134.12,0.09872,,,,
2-step,Ment Funding,2-Step,50000,68.45,199.0,6,22,114.09,171.13,0.10504,,,,
2-step,Funding Traders,2-Step,50000,84.32,213.0,7,22,140.54,210.81,0.13016,,,,
2-step,Goat Funded,2-Step Standard,50000,78.99,213.0,7,22,131.65,197.47,0.12901,,,,
2-step,Alpha Capital,Pro 10%,50000,63.51,214.0,9,22,105.86,158.78,0.11819,,,,
2-step,FundingPips,2-Step Flex,50000,51.87,215.0,10,22,86.45,129.67,0.14345,,,,
2-step,FundingPips,2-Step Standard,50000,70.24,228.0,11,22,117.07,175.61,0.12593,,,,
2-step,Blue Guardian,2-Step Standard,50000,77.24,230.0,12,22,128.73,193.1,0.11584,,,,
2-step,BrightFunded,2-Step,50000,81.38,231.0,13,22,135.64,203.46,0.12926,,,,
2-step,For Traders,2-Step,50000,68.21,231.0,13,22,113.68,170.52,0.10351,,,,
2-step,The Funded Trader,Standard,50000,83.41,231.0,13,22,139.01,208.52,0.12943,,,,
2-step,Fintokei,ProTrader,50000,81.77,239.0,16,22,136.28,204.42,0.12581,,,,
2-step,FundedNext,Stellar Lite,50000,50.98,249.0,17,22,84.96,127.44,0.11968,,,,
2-step,Hola Prime,2-Step Prime,50000,73.74,255.0,18,22,122.9,184.35,0.12337,,,,
2-step,City Traders Imperium,2-Step,50000,71.5,279.0,19,22,119.17,178.76,0.11312,,,,
2-step,FXIFY,2-Step,50000,34.1,303.0,20,22,56.83,85.25,0.08897,,,,
2-step,FundedNext,Stellar 2-Step,50000,51.96,330.0,21,22,86.59,129.89,0.12866,,,,
2-step,FTMO,2-Step,50000,52.55,400.0,22,22,87.59,131.38,0.12748,,,,
2-step,The5ers,High Stakes,60000,137.84,229.0,1,1,229.74,344.61,0.11174,,,,
2-step,Verodus,2-Step Lite,100000,152.16,241.0,1,23,253.6,380.4,0.10616,1.0,22.0,6.0,22.0
2-step,Maven,2-Step,100000,156.17,279.0,2,23,260.28,390.43,0.12736,,,,
2-step,Verodus,2-Step Pro,100000,150.61,296.0,3,23,251.02,376.53,0.11998,1.0,22.0,6.0,22.0
2-step,Alpha Capital,Pro 6%,100000,106.59,318.0,4,23,177.65,266.48,0.08958,,,,
2-step,BrightFunded,2-Step,100000,162.77,319.0,5,23,271.28,406.92,0.12926,,,,
2-step,Ment Funding,2-Step,100000,136.91,343.0,6,23,228.18,342.27,0.10504,,,,
2-step,Alpha Capital,Pro 10%,100000,127.03,358.0,7,23,211.71,317.57,0.11819,,,,
2-step,For Traders,2-Step,100000,136.41,391.0,8,23,227.35,341.03,0.10351,,,,
2-step,The5ers,High Stakes,100000,229.74,395.0,9,23,382.9,574.34,0.11174,,,,
2-step,Blue Guardian,2-Step Standard,100000,154.48,398.0,10,23,257.46,386.19,0.11584,,,,
