Product,Plan,Family,Size,List,Sale,P_pay,E_payout,E_cost,BE,px_20,px_40,px_60,sale_m,prints
FH Classic 2-Step,Classic 2-Step (NewBee),2-step,5000,29.0,22.0,0.13938571428571428,4.443331442847388,4.443331442847388,4.443331442847388,5.554164303559235,7.405552404745647,11.10832860711847,0.7980303889614824,True
FH Classic 2-Step,Classic 2-Step (NewBee),2-step,10000,59.0,44.0,0.13938571428571428,8.886662885694776,8.886662885694776,8.886662885694776,11.10832860711847,14.811104809491294,22.21665721423694,0.7980303889614824,True
FH Classic 2-Step,Classic 2-Step (NewBee),2-step,25000,99.0,74.0,0.13938571428571428,22.21665721423694,22.21665721423694,22.21665721423694,27.770821517796172,37.027762023728236,55.541643035592344,0.6997749025103116,True
FH Classic 2-Step,Classic 2-Step (NewBee),2-step,50000,199.0,149.0,0.13938571428571428,44.43331442847388,44.43331442847388,44.43331442847388,55.541643035592344,74.05552404745647,111.08328607118469,0.7017898360505109,True
FH Classic 2-Step,Classic 2-Step (NewBee),2-step,100000,349.0,262.0,0.13938571428571428,88.86662885694776,88.86662885694776,88.86662885694776,111.08328607118469,148.11104809491295,222.16657214236938,0.6608143936757719,True
FH Classic 2-Step,Classic 2-Step (NewBee),2-step,200000,599.0,449.0,0.13938571428571428,177.7332577138955,177.7332577138955,177.7332577138955,222.16657214236938,296.2220961898259,444.33314428473875,0.6041575552029054,True
FH PFP 2-Step,Pay From Profits 2-Step,2-step,5000,9.0,7.0,0.12824285714285716,4.5586577918611395,4.5586577918611395,4.5586577918611395,5.698322239826424,7.5977629864352325,11.396644479652847,0.34876317259126577,True
FH PFP 2-Step,Pay From Profits 2-Step,2-step,10000,19.0,14.0,0.12824285714285716,9.117315583722279,9.117315583722279,9.117315583722279,11.396644479652847,15.195525972870465,22.793288959305695,0.34876317259126577,True
FH PFP 2-Step,Pay From Profits 2-Step,2-step,25000,49.0,37.0,0.12824285714285716,22.793288959305695,22.793288959305695,22.793288959305695,28.491611199132116,37.98881493217616,56.98322239826423,0.38396516326200825,True
FH PFP 2-Step,Pay From Profits 2-Step,2-step,50000,75.0,56.0,0.12824285714285716,45.58657791861139,45.58657791861139,45.58657791861139,56.98322239826423,75.97762986435232,113.96644479652846,0.18595396573908232,True
FH PFP 2-Step,Pay From Profits 2-Step,2-step,100000,99.0,74.0,0.12824285714285716,91.17315583722278,91.17315583722278,91.17315583722278,113.96644479652846,151.95525972870465,227.93288959305693,-0.2320696734759835,False
FH PFP 2-Step,Pay From Profits 2-Step,2-step,200000,199.0,149.0,0.12824285714285716,182.34631167444556,182.34631167444556,182.34631167444556,227.93288959305693,303.9105194574093,455.86577918611385,-0.22380074949292322,False
FH PFP 1-Step,Pay From Profits 1-Step,1-step,5000,19.0,14.0,0.18404285714285715,7.062782848718254,7.062782848718254,7.062782848718254,8.828478560897818,11.771304747863757,17.656957121795635,0.495515510805839,True
FH PFP 1-Step,Pay From Profits 1-Step,1-step,10000,39.0,29.0,0.18404285714285715,14.125565697436508,14.125565697436508,14.125565697436508,17.656957121795635,23.542609495727515,35.31391424359127,0.5129115276746031,True
FH PFP 1-Step,Pay From Profits 1-Step,1-step,25000,99.0,74.0,0.18404285714285715,35.31391424359127,35.31391424359127,35.31391424359127,44.142392804489084,58.85652373931879,88.28478560897817,0.522784942654172,True
FH PFP 1-Step,Pay From Profits 1-Step,1-step,50000,149.0,112.0,0.18404285714285715,70.62782848718254,70.62782848718254,70.62782848718254,88.28478560897817,117.71304747863758,176.56957121795634,0.3693943885072987,True
FH PFP 1-Step,Pay From Profits 1-Step,1-step,100000,249.0,187.0,0.18404285714285715,141.25565697436508,141.25565697436508,141.25565697436508,176.56957121795634,235.42609495727515,353.1391424359127,0.24462215521729902,True
FH PFP 1-Step,Pay From Profits 1-Step,1-step,200000,399.0,299.0,0.18404285714285715,282.51131394873016,282.51131394873016,282.51131394873016,353.1391424359127,470.8521899145503,706.2782848718253,0.0551461071948824,True
FH Instant Growth,Instant Growth L1,instant,10000,299.0,299.0,0.46025714285714286,37.70741188988532,37.70741188988532,37.70741188988532,47.13426486235665,62.8456864831422,94.2685297247133,0.8738882545488786,True
