Firm,Plan,Family,Size,List,Sale,Discount,Off,P_pay,E_payout,E_cost,BE,px_20,px_40,px_60,sale_m,list_m,Refund,Product
Verodus,Instant,instant,5000,110.0,72.0,VERO35,0.34545454545454546,0.2207,43.762698568188235,43.762698568188235,43.762698568188235,54.70337321023529,72.9378309469804,109.40674642047058,0.39218474210849674,0.6021572857437434,none,Verodus Instant
Verodus,Instant,instant,10000,184.0,121.0,VERO35,0.34239130434782605,0.2207,87.52539713637647,87.52539713637647,87.52539713637647,109.40674642047058,145.8756618939608,218.81349284094117,0.27664961044316966,0.5243184938240409,none,Verodus Instant
Verodus,Instant,instant,25000,370.0,242.0,VERO35,0.34594594594594597,0.2207,218.81349284094117,218.81349284094117,218.81349284094117,273.51686605117646,364.68915473490193,547.0337321023529,0.09581201305396213,0.40861218151096984,none,Verodus Instant
Verodus,Instant,instant,50000,594.0,389.0,VERO35,0.34511784511784516,0.2207,437.62698568188233,437.62698568188233,437.62698568188233,547.0337321023529,729.3783094698039,1094.0674642047059,-0.12500510458067438,0.26325423285878397,none,Verodus Instant
Verodus,Instant,instant,100000,1032.0,676.0,VERO35,0.34496124031007747,0.2207,875.2539713637647,875.2539713637647,875.2539713637647,1094.0674642047059,1458.7566189396077,2188.1349284094117,-0.2947543955085276,0.15188568666301874,none,Verodus Instant
Verodus,Instant,instant,200000,2012.0,1318.0,VERO35,0.34493041749502984,0.2207,1750.5079427275293,1750.5079427275293,1750.5079427275293,2188.1349284094117,2917.5132378792155,4376.269856818823,-0.32815473651557614,0.12996623124874288,none,Verodus Instant
Verodus,1-Step,1-step,5000,55.0,36.0,VERO35,0.34545454545454546,0.08808,5.405198745782165,8.576078745782166,5.927272946949476,7.4090911836868445,9.878788244915793,14.818182367373689,0.7617755903949398,0.813643659167597,first,Verodus 1-Step
Verodus,1-Step,1-step,10000,92.0,60.0,VERO35,0.34782608695652173,0.08808,10.81039749156433,16.09519749156433,11.854545893898951,14.818182367373689,19.757576489831585,29.636364734747378,0.7317467084739278,0.7944156794395182,first,Verodus 1-Step
Verodus,1-Step,1-step,25000,185.0,120.0,VERO35,0.3513513513513513,0.08808,27.025993728910823,37.59559372891083,29.636364734747374,37.045455918434214,49.39394122457896,74.09091183686843,0.6867033855924097,0.765833547411293,first,Verodus 1-Step
Verodus,1-Step,1-step,50000,297.0,193.0,VERO35,0.35016835016835013,0.08808,54.051987457821646,71.05142745782165,59.27272946949475,74.09091183686843,98.78788244915792,148.18182367373686,0.6318578888195769,0.7299267762362908,first,Verodus 1-Step
Verodus,1-Step,1-step,100000,516.0,335.0,VERO35,0.35077519379844957,0.08808,108.10397491564329,137.6107749156433,118.5454589389895,148.18182367373686,197.57576489831584,296.3636473474737,0.5892215674159902,0.7024161726441022,first,Verodus 1-Step
Verodus,1-Step,1-step,200000,1006.0,654.0,VERO35,0.3499005964214712,0.08808,216.20794983128658,273.8122698312866,237.090917877979,296.3636473474737,395.1515297966317,592.7272946949474,0.5813268045393172,0.6970015608038901,first,Verodus 1-Step
Verodus,2-Step Lite,2-step,5000,27.0,18.0,VERO35,0.33333333333333337,0.10616,6.800423329115645,8.711303329115646,7.608099133083824,9.510123916354779,12.680165221806375,19.020247832709558,0.5160387039380196,0.6419724692920131,first,Verodus 2-Step Lite
Verodus,2-Step Lite,2-step,10000,51.0,33.0,VERO35,0.3529411764705882,0.10616,13.60084665823129,17.10412665823129,15.216198266167648,19.020247832709558,25.36033044361275,38.040495665419115,0.48169313156874877,0.6271567321915433,first,Verodus 2-Step Lite
Verodus,2-Step Lite,2-step,25000,101.0,66.0,VERO35,0.3465346534653465,0.10616,34.002116645578226,41.00867664557823,38.04049566541912,47.5506195817739,63.400826109031875,95.1012391635478,0.37865641446093595,0.5571853797467502,first,Verodus 2-Step Lite
Verodus,2-Step Lite,2-step,50000,204.0,133.0,VERO35,0.3480392156862745,0.10616,68.00423329115645,82.12351329115646,76.08099133083824,95.1012391635478,126.80165221806375,190.2024783270956,0.38252997525446275,0.5604859152394291,first,Verodus 2-Step Lite
Verodus,2-Step Lite,2-step,100000,371.0,241.0,VERO35,0.3504043126684636,0.10616,136.0084665823129,161.59302658231292,152.1619826616765,190.2024783270956,253.6033044361275,380.4049566541912,0.329489516255963,0.5272403596164073,first,Verodus 2-Step Lite
Verodus,2-Step Lite,2-step,200000,734.0,477.0,VERO35,0.35013623978201636,0.10616,272.0169331646258,322.65525316462583,304.323965323353,380.4049566541912,507.206608872255,760.8099133083824,0.32357389273663345,0.5232447232089567,first,Verodus 2-Step Lite
Verodus,2-Step Pro,2-step,5000,31.0,20.0,VERO35,0.3548387096774194,0.11998,6.627117371118915,9.026717371118915,7.530644043452325,9.413305054315405,12.551073405753876,18.82661010863081,0.5486641314440542,0.6662420202864866,first,Verodus 2-Step Pro
Verodus,2-Step Pro,2-step,10000,56.0,36.0,VERO35,0.3571428571428571,0.11998,13.25423474223783,17.57351474223783,15.06128808690465,18.82661010863081,25.10214681150775,37.65322021726162,0.5118468127156158,0.6433372367457529,first,Verodus 2-Step Pro
