Product,Size,List,Sale,P_pay,E_payout,E_refund_at_sale,E_cost_at_sale,BE,px_20,px_40,px_60,sale_m,list_m,refund
Verodus Instant,5000,110,72,0.027982500000000004,6.107945989037432,0.0,6.107945989037432,6.107945989037432,7.63493248629679,10.179909981729054,15.26986497259358,0.9151674168189246,0.9444732182814779,False
Verodus Instant,10000,184,121,0.027982500000000004,12.215891978074865,0.0,12.215891978074865,12.215891978074865,15.26986497259358,20.359819963458108,30.53972994518716,0.8990422150572325,0.933609282727854,False
Verodus Instant,25000,370,242,0.027982500000000004,30.539729945187158,0.0,30.539729945187158,30.539729945187158,38.174662431483945,50.89954990864526,76.34932486296789,0.8738027688215406,0.917460189337332,False
Verodus Instant,50000,594,389,0.027982500000000004,61.079459890374316,0.0,61.079459890374316,61.079459890374316,76.34932486296789,101.79909981729053,152.69864972593578,0.8429833935980094,0.8971726264471813,False
Verodus Instant,100000,1032,676,0.027982500000000004,122.15891978074863,0.0,122.15891978074863,122.15891978074863,152.69864972593578,203.59819963458105,305.39729945187156,0.8192915387858748,0.881628953700825,False
Verodus Instant,200000,2012,1318,0.027982500000000004,244.31783956149727,0.0,244.31783956149727,244.31783956149727,305.39729945187156,407.1963992691621,610.7945989037431,0.8146298637621416,0.8785696622457767,False
Verodus 1-Step,5000,55,36,0.019266250000000002,1.3262404036701279,0.6935850000000001,2.019825403670128,1.3522940386930988,1.6903675483663734,2.2538233978218316,3.3807350967327467,0.9438937387869409,0.9566202881150886,True
Verodus 1-Step,10000,92,60,0.019266250000000002,2.6524808073402557,1.1559750000000002,3.808455807340256,2.7045880773861977,3.3807350967327467,4.507646795643663,6.7614701934654935,0.936525736544329,0.9519024368767363,True
Verodus 1-Step,25000,185,120,0.019266250000000002,6.631202018350639,2.3119500000000004,8.94315201835064,6.761470193465494,8.451837741831868,11.269116989109158,16.903675483663736,0.9254737331804113,0.9448894147656721,True
Verodus 1-Step,50000,297,193,0.019266250000000002,13.262404036701279,3.7183862500000004,16.98079028670128,13.522940386930989,16.903675483663736,22.538233978218315,33.80735096732747,0.9120166306388535,0.9360791909538677,True
Verodus 1-Step,100000,516,335,0.019266250000000002,26.524808073402557,6.454193750000001,32.979001823402555,27.045880773861978,33.80735096732747,45.07646795643663,67.61470193465495,0.9015552184376043,0.9293290831910803,True
Verodus 1-Step,200000,1006,654,0.019266250000000002,53.049616146805114,12.600127500000001,65.64974364680512,54.091761547723955,67.61470193465495,90.15293591287326,135.2294038693099,0.8996181289804204,0.9280005331542692,True
Verodus 2-Step Lite,5000,27,18,0.0240425,1.5580480929086367,0.432765,1.9908130929086367,1.5964302676178386,1.995537834522298,2.6607171126963975,3.991075669044596,0.8893992726161868,0.9182520150774579,True
Verodus 2-Step Lite,10000,51,33,0.0240425,3.1160961858172733,0.7934025,3.9094986858172733,3.192860535235677,3.991075669044596,5.321434225392795,7.982151338089192,0.8815303428540221,0.9148575747878966,True
Verodus 2-Step Lite,25000,101,66,0.0240425,7.790240464543182,1.586805,9.377045464543183,7.982151338089191,9.97768917261149,13.303585563481986,19.95537834522298,0.8579235535675275,0.8988264062916517,True
Verodus 2-Step Lite,50000,204,133,0.0240425,15.580480929086365,3.1976525000000002,18.778133429086367,15.964302676178383,19.95537834522298,26.607171126963973,39.91075669044596,0.8588110268489747,0.8995825934848708,True
Verodus 2-Step Lite,100000,371,241,0.0240425,31.16096185817273,5.7942425,36.95520435817273,31.928605352356765,39.91075669044596,53.214342253927946,79.82151338089191,0.8466589030781215,0.8919656890615291,True
Verodus 2-Step Lite,200000,734,477,0.0240425,62.32192371634546,11.468272500000001,73.79019621634546,63.85721070471353,79.82151338089191,106.42868450785589,159.64302676178383,0.8453035718734896,0.8910502469804557,True
Verodus 2-Step Pro,5000,31,20,0.026395000000000002,1.6275719612263737,0.5279,2.1554719612263735,1.671696387371032,2.08962048421379,2.786160645618387,4.17924096842758,0.8922264019386812,0.921102678670117,True
Verodus 2-Step Pro,10000,56,36,0.026395000000000002,3.2551439224527474,0.9502200000000001,4.205363922452747,3.343392774742064,4.17924096842758,5.572321291236774,8.35848193685516,0.8831843354874237,0.9154774299562008,True
Verodus 2-Step Pro,25000,131,85,0.026395000000000002,8.137859806131868,2.2435750000000003,10.381434806131868,8.35848193685516,10.448102421068949,13.930803228091934,20.896204842137898,0.8778654728690369,0.9114839327776194,True
Verodus 2-Step Pro,50000,250,163,0.026395000000000002,16.275719612263735,4.302385,20.578104612263736,16.71696387371032,20.896204842137898,27.861606456183868,41.792409684275796,0.8737539594339648,0.908502121550945,True
Verodus 2-Step Pro,100000,455,296,0.026395000000000002,32.55143922452747,7.81292,40.36435922452747,33.43392774742064,41.792409684275796,55.723212912367735,83.58481936855159,0.8636339215387585,0.9020633753307088,True
Verodus 2-Step Pro,200000,887,577,0.026395000000000002,65.10287844905494,15.229915000000002,80.33279344905495,66.86785549484128,83.58481936855159,111.44642582473547,167.16963873710318,0.8607750546810139,0.9002082937440193,True
