Kind,Plan,Size,Addon,Pct,List,Sticker,Sale,E,P_pay,BE,px_20,px_40,px_60,Cost,Sale_m
addon,1-Step,10000,On Demand 90%,0.1500,106,16.00,10.4000,1.713959,0.000000,1.713959,2.142449,2.856599,4.284898,1.713959,0.835196
addon,1-Step,25000,Weekend Holding,0.1500,198,30.00,19.5000,1.371167,0.000000,1.371167,1.713959,2.285279,3.427918,1.371167,0.929684
addon,1-Step,25000,Weekly 70%,0.0600,198,12.00,7.8000,1.713959,0.000000,1.713959,2.142449,2.856599,4.284898,1.713959,0.780262
addon,1-Step,25000,On Demand 90%,0.1500,198,30.00,19.5000,4.284898,0.000000,4.284898,5.356122,7.141497,10.712245,4.284898,0.780262
addon,1-Step,50000,Weekend Holding,0.1500,337,51.00,33.1500,2.742335,0.000000,2.742335,3.427918,4.570558,6.855837,2.742335,0.917275
addon,1-Step,50000,Weekly 70%,0.0600,337,20.00,13.0000,3.427918,0.000000,3.427918,4.284898,5.713197,8.569796,3.427918,0.736314
addon,1-Step,50000,On Demand 90%,0.1500,337,51.00,33.1500,8.569796,0.000000,8.569796,10.712245,14.282993,21.424490,8.569796,0.741484
addon,1-Step,100000,Weekend Holding,0.1500,583,87.00,56.5500,5.484669,0.000000,5.484669,6.855837,9.141116,13.711673,5.484669,0.903012
addon,1-Step,100000,Weekly 70%,0.0600,583,35.00,22.7500,6.855837,0.000000,6.855837,8.569796,11.426395,17.139592,6.855837,0.698645
addon,1-Step,100000,On Demand 90%,0.1500,583,87.00,56.5500,17.139592,0.000000,17.139592,21.424490,28.565986,42.848980,17.139592,0.696913
addon,1-Step,200000,Weekend Holding,0.1500,1075,161.00,104.6500,10.969339,0.000000,10.969339,13.711673,18.282231,27.423347,10.969339,0.895181
addon,1-Step,200000,Weekly 70%,0.0600,1075,65.00,42.2500,13.711673,0.000000,13.711673,17.139592,22.852789,34.279184,13.711673,0.675463
addon,1-Step,200000,On Demand 90%,0.1500,1075,161.00,104.6500,34.279184,0.000000,34.279184,42.848980,57.131973,85.697959,34.279184,0.672440
addon,2-Step Lite,5000,Weekend Holding,0.1500,60,9.00,5.8500,0.310487,0.000000,0.310487,0.388108,0.517478,0.776217,0.310487,0.946925
addon,2-Step Lite,5000,Weekly 70%,0.0600,60,4.00,2.6000,0.388108,0.000000,0.388108,0.485135,0.646847,0.970271,0.388108,0.850728
addon,2-Step Lite,5000,On Demand 90%,0.1500,60,9.00,5.8500,0.970271,0.000000,0.970271,1.212839,1.617118,2.425677,0.970271,0.834142
addon,2-Step Lite,10000,Weekend Holding,0.1500,85,13.00,8.4500,0.620973,0.000000,0.620973,0.776217,1.034956,1.552434,0.620973,0.926512
