Plan,Size,Sale,List,BE,Rec_m,Chal_left,Combo,Keys,Sticker,Extra,Addon_left,Combined
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Challenge only,(),0,0.0,0.0,13.379013825843117
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,News,"('news',)",81,14.199577908780967,27.920422091219038,41.299435917062155
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Weekend,"('weekend',)",81,22.719324654049547,19.400675345950457,32.77968917179358
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Swing,"('swing',)",135,36.91890256283052,33.281097437169485,46.6601112630126
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Weekly 80%,"('weekly',)",54,22.719324654049547,5.360675345950455,18.73968917179357
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,On-demand 80%,"('od80',)",101,34.078986981074316,18.441013018925695,31.82002684476881
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,90% split,"('split90',)",101,35.49894477195242,17.021055228047594,30.40006905389071
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,90% On Demand,"('od90',)",216,116.43653885200392,-4.116538852003913,9.262474973839204
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,News + weekly,"('news', 'weekly')",135,36.91890256283051,33.28109743716949,46.66011126301261
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,News + on-demand 80%,"('news', 'od80')",182,48.27856488985528,46.36143511014472,59.740448935987835
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,News + 90%,"('news', 'split90')",182,49.69852268073338,44.94147731926662,58.320491145109735
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,News + 90% On Demand,"('news', 'od90')",297,130.6361167607849,23.80388323921514,37.182897065058256
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Weekend + weekly,"('weekend', 'weekly')",135,45.438649308099095,24.76135069190091,38.140364517744025
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Weekend + on-demand 80%,"('weekend', 'od80')",182,56.798311635123866,37.841688364876134,51.22070219071925
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Weekend + 90%,"('weekend', 'split90')",182,58.21826942600197,36.42173057399803,49.80074439984115
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Weekend + 90% On Demand,"('weekend', 'od90')",297,139.15586350605346,15.284136493946562,28.66315031978968
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Swing + weekly,"('swing', 'weekly')",189,59.63822721688007,38.64177278311995,52.020786608963064
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Swing + on-demand 80%,"('swing', 'od80')",236,70.99788954390483,51.72211045609518,65.1011242819383
