Plan,Size,N,Addon,Key,Live_pct,Sug_pct,List,Sale,Sticker,Net,Attach,Extra,Left,E_left,E_rev,Book_left,Book_rev,Sug_sticker,Sug_left,Sug_e_left,Sug_book_left,Challenge_left,E_used
Instant,5000,15,News trading,news,0.15,0.15,75,49,11,7.15,0.32,0.7099788954390485,5.010021104560952,1.6032067534595047,2.2880000000000003,24.048101301892572,34.32000000000001,11,5.010021104560952,1.6032067534595047,24.048101301892572,6.273257619539706,14.199577908780968
Instant,5000,15,Weekend holding,weekend,0.18,0.18,75,49,14,9.1,0.1,1.1359662327024775,6.144033767297523,0.6144033767297523,0.91,9.216050650946285,13.65,14,6.144033767297523,0.6144033767297523,9.216050650946285,6.273257619539706,14.199577908780968
Instant,5000,15,Weekly 70% split,weekly,0.06,0.06,75,49,4,2.6,0.08,1.1359662327024775,0.9440337672975225,0.07552270138380181,0.20800000000000002,1.1328405207570271,3.12,4,0.9440337672975225,0.07552270138380181,1.1328405207570271,6.273257619539706,14.199577908780968
Instant,5000,15,On-demand 90% split,ondemand,0.2,0.32,75,49,15,9.75,0.18,5.821826942600197,1.978173057399804,0.3560711503319647,1.755,5.34106725497947,26.325,24,6.6581730573998055,1.198471150331965,17.977067254979474,6.273257619539706,14.199577908780968
Instant,10000,25,News trading,news,0.15,0.15,106,69,16,10.4,0.32,1.419957790878097,6.900042209121903,2.2080135069190088,3.3280000000000003,55.200337672975216,83.2,16,6.900042209121903,2.2080135069190088,55.200337672975216,6.226192156713566,28.399155817561937
Instant,10000,25,Weekend holding,weekend,0.18,0.18,106,69,19,12.35,0.1,2.271932465404955,7.608067534595046,0.7608067534595047,1.235,19.020168836487617,30.875000000000004,19,7.608067534595046,0.7608067534595047,19.020168836487617,6.226192156713566,28.399155817561937
Instant,10000,25,Weekly 70% split,weekly,0.06,0.06,106,69,6,3.9000000000000004,0.08,2.271932465404955,0.8480675345950455,0.06784540276760363,0.31200000000000006,1.6961350691900907,7.800000000000002,6,0.8480675345950455,0.06784540276760363,1.6961350691900907,6.226192156713566,28.399155817561937
Instant,10000,25,On-demand 90% split,ondemand,0.2,0.32,106,69,21,13.65,0.18,11.643653885200393,-0.7236538852003918,-0.1302576993360705,2.457,-3.256442483401763,61.425,34,6.03634611479961,1.0865423006639296,27.163557516598242,6.226192156713566,28.399155817561937
Instant,25000,28,News trading,news,0.15,0.15,214,139,32,20.8,0.32,3.5498944771952416,13.090105522804759,4.188833767297523,6.656000000000001,117.28734548433064,186.36800000000002,32,13.090105522804759,4.188833767297523,117.28734548433064,14.084995768235146,70.99788954390483
Instant,25000,28,Weekend holding,weekend,0.18,0.18,214,139,39,25.35,0.1,5.679831163512387,14.600168836487615,1.4600168836487617,2.535,40.880472742165324,70.98,39,14.600168836487615,1.4600168836487617,40.880472742165324,14.084995768235146,70.99788954390483
Instant,25000,28,Weekly 70% split,weekly,0.06,0.06,214,139,13,8.450000000000001,0.08,5.679831163512387,1.0801688364876147,0.08641350691900918,0.676,2.419578193732257,18.928,13,1.0801688364876147,0.08641350691900918,2.419578193732257,14.084995768235146,70.99788954390483
Instant,25000,28,On-demand 90% split,ondemand,0.2,0.32,214,139,43,27.95,0.18,29.10913471300098,-6.749134713000981,-1.2148442483401765,5.031,-34.01563895352494,140.868,68,6.250865286999026,1.1251557516598247,31.504361046475093,14.084995768235146,70.99788954390483
Instant,50000,18,News trading,news,0.15,0.15,368,239,55,35.75,0.32,7.099788954390483,21.500211045609518,6.880067534595046,11.44,123.84121562271082,205.92,55,21.500211045609518,6.880067534595046,123.84121562271082,13.849668454104489,141.99577908780967
Instant,50000,18,Weekend holding,weekend,0.18,0.18,368,239,66,42.9,0.1,11.359662327024774,22.96033767297523,2.296033767297523,4.29,41.32860781135541,77.22,66,22.96033767297523,2.296033767297523,41.32860781135541,13.849668454104489,141.99577908780967
Instant,50000,18,Weekly 70% split,weekly,0.06,0.06,368,239,22,14.3,0.08,11.359662327024774,0.08033767297522765,0.006427013838018212,1.1440000000000001,0.11568624908432781,20.592000000000002,22,0.08033767297522765,0.006427013838018212,0.11568624908432781,13.849668454104489,141.99577908780967
Instant,50000,18,On-demand 90% split,ondemand,0.2,0.32,368,239,74,48.1,0.18,58.21826942600196,-19.738269426001956,-3.552888496680352,8.658,-63.951992940246335,155.844,118,3.1417305739980463,0.5655115033196483,10.179207059753669,13.849668454104489,141.99577908780967
Instant,100000,12,News trading,news,0.15,0.15,675,439,101,65.65,0.32,14.199577908780967,38.320422091219044,12.262535069190093,21.008000000000003,147.15042083028112,252.09600000000003,101,38.320422091219044,12.262535069190093,147.15042083028112,13.379013825843117,283.99155817561933
Instant,100000,12,Weekend holding,weekend,0.18,0.18,675,439,122,79.3,0.1,22.719324654049547,40.720675345950454,4.072067534595045,7.93,48.86481041514054,95.16,122,40.720675345950454,4.072067534595045,48.86481041514054,13.379013825843117,283.99155817561933
Instant,100000,12,Weekly 70% split,weekly,0.06,0.06,675,439,40,26.0,0.08,22.719324654049547,-1.9193246540495466,-0.15354597232396372,2.08,-1.8425516678875646,24.96,40,-1.9193246540495466,-0.15354597232396372,-1.8425516678875646,13.379013825843117,283.99155817561933
Instant,100000,12,On-demand 90% split,ondemand,0.2,0.32,675,439,135,87.75,0.18,116.43653885200392,-46.23653885200392,-8.322576993360705,15.795,-99.87092392032847,189.54,216,-4.116538852003913,-0.7409769933607043,-8.891723920328452,13.379013825843117,283.99155817561933
1-Step,5000,8,News trading,news,0.15,0.15,55,36,8,5.2,0.22,0.1081039749156433,4.051896025084357,0.8914171255185586,1.1440000000000001,7.1313370041484685,9.152000000000001,8,4.051896025084357,0.8914171255185586,7.1313370041484685,2.095050722118838,5.405198745782165
1-Step,5000,8,Weekend holding,weekend,0.18,0.18,55,36,10,6.5,0.16,0.2162079498312866,4.983792050168714,0.7974067280269942,1.04,6.3792538242159535,8.32,10,4.983792050168714,0.7974067280269942,6.3792538242159535,2.095050722118838,5.405198745782165
1-Step,5000,8,Weekly 70% split,weekly,0.06,0.06,55,36,3,1.9500000000000002,0.1,0.2702599372891083,1.289740062710892,0.1289740062710892,0.19500000000000003,1.0317920501687137,1.5600000000000003,3,1.289740062710892,0.1289740062710892,1.0317920501687137,2.095050722118838,5.405198745782165
1-Step,5000,8,On-demand 90% split,ondemand,0.2,0.2,55,36,11,7.15,0.12,0.6756498432227707,5.04435015677723,0.6053220188132675,0.858,4.84257615050614,6.864,11,5.04435015677723,0.6053220188132675,4.84257615050614,2.095050722118838,5.405198745782165
