label,Size,Sale,P_pay,P_yr1,E,BE,Left,Sale_m,Units,Avg_days
catalog_two_box,5000,49,0.21295,0.07176666666666667,13.89761184888926,13.89761184888926,6.6054202854205855,0.7163752683900151,15,27.726516666666665
catalog_two_box,10000,69,0.21295,0.07176666666666667,27.79522369777852,27.79522369777852,6.890517488475325,0.5971706710466881,25,27.726516666666665
catalog_two_box,25000,149,0.21295,0.07176666666666667,69.4880592444463,69.4880592444463,23.745809097639537,0.5336371862788839,28,27.726516666666665
catalog_two_box,50000,239,0.21295,0.07176666666666667,138.9761184888926,138.9761184888926,17.17129511291327,0.41850996448162087,18,27.726516666666665
catalog_two_box,100000,439,0.21295,0.07176666666666667,277.9522369777852,277.9522369777852,20.02226714346068,0.3668513964059562,12,27.726516666666665
pdf_engine,5000,49,0.21359166666666668,0.07104166666666667,13.67868647617007,13.67868647617007,6.846238195411701,0.7208431331393863,15,27.406275000000004
pdf_engine,10000,69,0.21359166666666668,0.07104166666666667,27.35737295234014,27.35737295234014,7.372153308457541,0.6035163340240559,25,27.406275000000004
pdf_engine,25000,149,0.21359166666666668,0.07104166666666667,68.39343238085034,68.39343238085034,24.949898647595106,0.5409836752963064,28,27.406275000000004
pdf_engine,50000,239,0.21359166666666668,0.07104166666666667,136.78686476170068,136.78686476170068,19.57947421282438,0.42767002191757036,18,27.406275000000004
pdf_engine,100000,439,0.21359166666666668,0.07104166666666667,273.57372952340137,273.57372952340137,24.8386253432829,0.37682521748655723,12,27.406275000000004
